"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 19 11:16:15 BRT 2026","Thu Feb 19 11:16:19 BRT 2026","4407","","com.desafio.frontend.tests.RoomTest","","com.desafio.frontend.tests.RoomTest","validarReservaParaPeriodoJaReservado","Validar seleção de data para um período que já tem reserva",""
"passed","Thu Feb 19 11:15:58 BRT 2026","Thu Feb 19 11:16:03 BRT 2026","5021","","com.desafio.frontend.tests.RoomTest","","com.desafio.frontend.tests.RoomTest","naoDeveSelecionarDataAnterior","Validar seleção de data anterior a atual para check-in",""
"passed","Thu Feb 19 11:15:48 BRT 2026","Thu Feb 19 11:15:54 BRT 2026","5902","","com.desafio.frontend.tests.HomeTest","","com.desafio.frontend.tests.HomeTest","deveEnviarMensagemDeContato","Validar sucesso no envio de mensagem",""
"passed","Thu Feb 19 11:15:54 BRT 2026","Thu Feb 19 11:15:58 BRT 2026","3999","","com.desafio.frontend.tests.HomeTest","","com.desafio.frontend.tests.HomeTest","deveRedirecionarParaQuartoEscolhido","Validar redirecionamento para quarto escolhido",""
"passed","Thu Feb 19 11:16:03 BRT 2026","Thu Feb 19 11:16:09 BRT 2026","5552","","com.desafio.frontend.tests.RoomTest","","com.desafio.frontend.tests.RoomTest","naoDeveProsseguirComDadosIncorretos","Validar prosseguimento de reserva com dados pessoais com campos vazios / acima do limite permitido",""
"passed","Thu Feb 19 11:16:09 BRT 2026","Thu Feb 19 11:16:15 BRT 2026","6005","","com.desafio.frontend.tests.RoomTest","","com.desafio.frontend.tests.RoomTest","validarE2E","Validar fluxo E2E de reserva (desktop)",""
