"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Reserva de quartos","Fluxo de reserva","","1","0","3","0","0"
"Reserva de quartos","Tela inicial","","0","0","2","0","0"
